(F)    14  PHYS 2001        46  GENERAL PHYSICS        3.0   900-1020    T TH  0130 NICHOLSON                        YOUNG D
(F)    14  PHYS 2001        47  GENERAL PHYSICS        3.0   900-1020    T TH  0130 NICHOLSON                        YOUNG D
  2    11  PHYS 2001        48  GENERAL PHYSICS        3.0   900-1020    T TH  0130 NICHOLSON                        YOUNG D
(F)    14  PHYS 2001        49  GENERAL PHYSICS        3.0   900-1020    T TH  0130 NICHOLSON                        YOUNG D
  1    12  PHYS 2001        50  GENERAL PHYSICS        3.0   900-1020    T TH  0130 NICHOLSON                        YOUNG D
  2    10  PHYS 2001        51  GENERAL PHYSICS        3.0   900-1020    T TH  0130 NICHOLSON                        YOUNG D
  1    13  PHYS 2001        52  GENERAL PHYSICS        3.0   900-1020    T TH  0130 NICHOLSON                        YOUNG D
  3    22  PHYS 2001        58  GENERAL PHYSICS        3.0   900-1020    T TH  0130 NICHOLSON                        YOUNG D
 49   131  PHYS 2002         1  GENERAL PHYSICS        3.0   930-1020   M W F  0130 NICHOLSON                        MCELGIN W
 32   188  PHYS 2002         2  GENERAL PHYSICS        3.0  1200-0120    T TH  0130 NICHOLSON                        MCELGIN W
(F)    24  PHYS 2108 LAB     1  LAB WRK TECHN PHYS     1.0   830-1120   M      0011 NICHOLSON                        BROWNE D
(F)    24  PHYS 2108 LAB     2  LAB WRK TECHN PHYS     1.0  1130-0220   M      0011 NICHOLSON                        BROWNE D
  1    23  PHYS 2108 LAB     3  LAB WRK TECHN PHYS     1.0   230-0520   M      0011 NICHOLSON                        BROWNE D
  1    23  PHYS 2108 LAB    31  LAB WRK TECHN PHYS     1.0   230-0520   M      0010 NICHOLSON                        BROWNE D
(F)    24  PHYS 2108 LAB     4  LAB WRK TECHN PHYS     1.0   700-0950N  M      0011 NICHOLSON                        BROWNE D
  5    19  PHYS 2108 LAB    19  LAB WRK TECHN PHYS     1.0   700-0950N  M      0010 NICHOLSON                        BROWNE D
  2    22  PHYS 2108 LAB     5  LAB WRK TECHN PHYS     1.0   900-1150    T     0011 NICHOLSON                        BROWNE D
  1    23  PHYS 2108 LAB    20  LAB WRK TECHN PHYS     1.0   900-1150    T     0010 NICHOLSON                        BROWNE D
  2    22  PHYS 2108 LAB     6  LAB WRK TECHN PHYS     1.0  1200-0250    T     0011 NICHOLSON                        BROWNE D
(F)    24  PHYS 2108 LAB    21  LAB WRK TECHN PHYS     1.0  1200-0250    T     0010 NICHOLSON                        BROWNE D
(F)    24  PHYS 2108 LAB     7  LAB WRK TECHN PHYS     1.0   300-0550    T     0011 NICHOLSON                        BROWNE D
(F)    24  PHYS 2108 LAB    22  LAB WRK TECHN PHYS     1.0   300-0550    T     0010 NICHOLSON                        BROWNE D
  5    19  PHYS 2108 LAB     8  LAB WRK TECHN PHYS     1.0   700-0950N   T     0011 NICHOLSON                        BROWNE D
 10    14  PHYS 2108 LAB    23  LAB WRK TECHN PHYS     1.0   700-0950N   T     0010 NICHOLSON                        BROWNE D
(F)    24  PHYS 2108 LAB     9  LAB WRK TECHN PHYS     1.0   830-1120     W    0011 NICHOLSON                        BROWNE D
  2    22  PHYS 2108 LAB    24  LAB WRK TECHN PHYS     1.0   830-1120     W    0010 NICHOLSON                        BROWNE D
  1    23  PHYS 2108 LAB    10  LAB WRK TECHN PHYS     1.0  1130-0220     W    0011 NICHOLSON                        BROWNE D
(F)    24  PHYS 2108 LAB    25  LAB WRK TECHN PHYS     1.0  1130-0220     W    0010 NICHOLSON                        BROWNE D
(F)    24  PHYS 2108 LAB    11  LAB WRK TECHN PHYS     1.0   230-0520     W    0011 NICHOLSON                        BROWNE D
  1    23  PHYS 2108 LAB    26  LAB WRK TECHN PHYS     1.0   230-0520     W    0010 NICHOLSON                        BROWNE D
  1    23  PHYS 2108 LAB    12  LAB WRK TECHN PHYS     1.0   700-0950N    W    0011 NICHOLSON                        BROWNE D
  1    23  PHYS 2108 LAB    13  LAB WRK TECHN PHYS     1.0   900-1150      TH  0011 NICHOLSON                        BROWNE D
(F)    24  PHYS 2108 LAB    14  LAB WRK TECHN PHYS     1.0  1200-0250      TH  0010 NICHOLSON                        BROWNE D
  2    21  PHYS 2108 LAB    28  LAB WRK TECHN PHYS     1.0  1200-0250      TH  0011 NICHOLSON                        BROWNE D
(F)    24  PHYS 2108 LAB    15  LAB WRK TECHN PHYS     1.0   300-0550      TH  0010 NICHOLSON                        BROWNE D
  1    23  PHYS 2108 LAB    29  LAB WRK TECHN PHYS     1.0   300-0550      TH  0011 NICHOLSON                        BROWNE D
  5    19  PHYS 2108 LAB    16  LAB WRK TECHN PHYS     1.0   700-0950N     TH  0011 NICHOLSON                        BROWNE D
  1    23  PHYS 2108 LAB    30  LAB WRK TECHN PHYS     1.0   830-1120       F  0011 NICHOLSON                        BROWNE D
(F)    24  PHYS 2108 LAB    18  LAB WRK TECHN PHYS     1.0  1130-0220       F  0011 NICHOLSON                        BROWNE D
(F)    24  PHYS 2109 LAB     2  GEN PHYSICS LAB        1.0  1130-0220   M      0014 NICHOLSON                        BROWNE D
(F)    24  PHYS 2109 LAB     3  GEN PHYSICS LAB        1.0   230-0520   M      0014 NICHOLSON                        BROWNE D
  2    22  PHYS 2109 LAB     4  GEN PHYSICS LAB        1.0   700-0950N  M      0014 NICHOLSON                        BROWNE D
  3    21  PHYS 2109 LAB     5  GEN PHYSICS LAB        1.0   900-1150    T     0014 NICHOLSON                        BROWNE D
  2    22  PHYS 2109 LAB     6  GEN PHYSICS LAB        1.0  1200-0250    T     0014 NICHOLSON                        BROWNE D
(F)    24  PHYS 2109 LAB     7  GEN PHYSICS LAB        1.0   300-0550    T     0014 NICHOLSON                        BROWNE D
  2    22  PHYS 2109 LAB     8  GEN PHYSICS LAB        1.0   700-0950N   T     0014 NICHOLSON                        BROWNE D
  4    20  PHYS 2109 LAB     9  GEN PHYSICS LAB        1.0   830-1120     W    0014 NICHOLSON                        BROWNE D
  3    21  PHYS 2109 LAB    10  GEN PHYSICS LAB        1.0  1130-0220     W    0014 NICHOLSON                        BROWNE D
(F)    24  PHYS 2109 LAB    11  GEN PHYSICS LAB        1.0   230-0520     W    0014 NICHOLSON                        BROWNE D
  9    15  PHYS 2109 LAB    13  GEN PHYSICS LAB        1.0   900-1150      TH  0014 NICHOLSON                        BROWNE D
  1    23  PHYS 2109 LAB    15  GEN PHYSICS LAB        1.0   300-0550      TH  0014 NICHOLSON                        BROWNE D
 12    12  PHYS 2109 LAB    17  GEN PHYSICS LAB        1.0   830-1120       F  0014 NICHOLSON                        BROWNE D
(F)    24  PHYS 2109 LAB    18  GEN PHYSICS LAB        1.0  1130-0220       F  0014 NICHOLSON                        BROWNE D
  1    24  PHYS 2110         1  PARTICLE MECHANICS     3.0   830-0920   M W F  0109 NICHOLSON                        CORBITT T
(F)    25  PHYS 2110         2  PARTICLE MECHANICS     3.0   830-0920   M W F  0109 NICHOLSON                        CORBITT T
(F)    25  PHYS 2110         3  PARTICLE MECHANICS     3.0   830-0920   M W F  0109 NICHOLSON                        CORBITT T
(F)    25  PHYS 2110         4  PARTICLE MECHANICS     3.0  1030-1120   M W F  0109 NICHOLSON                        PLUMMER E
(F)    25  PHYS 2110         5  PARTICLE MECHANICS     3.0  1030-1120   M W F  0109 NICHOLSON                        PLUMMER E
(F)    25  PHYS 2110         6  PARTICLE MECHANICS     3.0  1030-1120   M W F  0109 NICHOLSON                        PLUMMER E
(F)    13  PHYS 2110        35  PARTICLE MECHANICS     3.0  1130-1220   M W F  0119 NICHOLSON                        MESA D
(F)    13  PHYS 2110        36  PARTICLE MECHANICS     3.0  1130-1220   M W F  0119 NICHOLSON                        MESA D
(F)    12  PHYS 2110        37  PARTICLE MECHANICS     3.0  1130-1220   M W F  0119 NICHOLSON                        MESA D
(F)    12  PHYS 2110        38  PARTICLE MECHANICS     3.0  1130-1220   M W F  0119 NICHOLSON                        MESA D
  2    11  PHYS 2110        39  PARTICLE MECHANICS     3.0  1130-1220   M W F  0119 NICHOLSON                        MESA D
(F)    12  PHYS 2110        40  PARTICLE MECHANICS     3.0  1130-1220   M W F  0119 NICHOLSON                        MESA D
  1    24  PHYS 2110         7  PARTICLE MECHANICS     3.0  1230-0120   M W F  0109 NICHOLSON                        MCELGIN W
  1    24  PHYS 2110         8  PARTICLE MECHANICS     3.0  1230-0120   M W F  0109 NICHOLSON                        MCELGIN W
  5    20  PHYS 2110         9  PARTICLE MECHANICS     3.0  1230-0120   M W F  0109 NICHOLSON                        MCELGIN W
  1    11  PHYS 2110        41  PARTICLE MECHANICS     3.0   130-0220   M W F  0119 NICHOLSON                        MESA D
  2     9  PHYS 2110        42  PARTICLE MECHANICS     3.0   130-0220   M W F  0119 NICHOLSON                        MESA D
  4     8  PHYS 2110        43  PARTICLE MECHANICS     3.0   130-0220   M W F  0119 NICHOLSON                        MESA D
  9     2  PHYS 2110        44  PARTICLE MECHANICS     3.0   130-0220   M W F  0119 NICHOLSON                        MESA D
(F)    12  PHYS 2110        45  PARTICLE MECHANICS     3.0   130-0220   M W F  0119 NICHOLSON                        MESA D
  4     7  PHYS 2110        46  PARTICLE MECHANICS     3.0   130-0220   M W F  0119 NICHOLSON                        MESA D
  1    24  PHYS 2110        10  PARTICLE MECHANICS     3.0   230-0320   M W F  0109 NICHOLSON                        RAU A
  3    22  PHYS 2110        11  PARTICLE MECHANICS     3.0   230-0320   M W F  0109 NICHOLSON                        RAU A
(F)    25  PHYS 2110        12  PARTICLE MECHANICS     3.0   230-0320   M W F  0109 NICHOLSON                        RAU A
  2    23  PHYS 2110        13  PARTICLE MECHANICS     3.0  1030-1150    T TH  0119 NICHOLSON                        ZHANG J
  2     8  PHYS 2110        14  PARTICLE MECHANICS     3.0  1030-1150    T TH  0119 NICHOLSON                        ZHANG J
  1     7  PHYS 2110        16  PARTICLE MECHANICS     3.0  1030-1150    T TH  0119 NICHOLSON                        ZHANG J
  2     4  PHYS 2110        17  PARTICLE MECHANICS     3.0  1030-1150    T TH  0119 NICHOLSON                        ZHANG J
  1     6  PHYS 2110        18  PARTICLE MECHANICS     3.0  1030-1150    T TH  0119 NICHOLSON                        ZHANG J
  1     8  PHYS 2110        19  PARTICLE MECHANICS     3.0  1030-1150    T TH  0119 NICHOLSON                        ZHANG J
  3     9  PHYS 2110        22  PARTICLE MECHANICS     3.0  1030-1150    T TH  0119 NICHOLSON                        ZHANG J
  2    11  PHYS 2110        25  PARTICLE MECHANICS     3.0   130-0250    T TH  0109 NICHOLSON                        MESA D
(F)    12  PHYS 2110        27  PARTICLE MECHANICS     3.0   130-0250    T TH  0109 NICHOLSON                        MESA D
(F)    14  PHYS 2110        28  PARTICLE MECHANICS     3.0   130-0250    T TH  0109 NICHOLSON                        MESA D
(F)    12  PHYS 2110        29  PARTICLE MECHANICS     3.0   130-0250    T TH  0109 NICHOLSON                        MESA D
  2     9  PHYS 2110        30  PARTICLE MECHANICS     3.0   130-0250    T TH  0109 NICHOLSON                        MESA D
  2    11  PHYS 2110        33  PARTICLE MECHANICS     3.0   130-0250    T TH  0109 NICHOLSON                        MESA D
 10    15  PHYS 2110        47  PARTICLE MECHANICS     3.0   300-0420    T TH  0119 NICHOLSON                        MCELGIN W
 18     7  PHYS 2110        48  PARTICLE MECHANICS     3.0   300-0420    T TH  0119 NICHOLSON                        MCELGIN W
 19     6  PHYS 2110        49  PARTICLE MECHANICS     3.0   300-0420    T TH  0119 NICHOLSON                        MCELGIN W
 12    58  PHYS 2112         1  THERMO AND WAVES       3.0  1030-1120   M W F  0119 NICHOLSON                        BEAIRD R
 16    54  PHYS 2112         2  THERMO AND WAVES       3.0  1230-0120   M W F  0119 NICHOLSON                        BEAIRD R
  2    68  PHYS 2112         4  THERMO AND WAVES       3.0  1200-0120    T TH  0119 NICHOLSON                        SPRUNGER P
 18    52  PHYS 2112         5  THERMO AND WAVES       3.0   130-0250    T TH  0119 NICHOLSON                        FRANK J
  4    66  PHYS 2113         1  ELECTROMAGNETISM       3.0   930-1020   M W F  0109 NICHOLSON                        WILDE M
  1    69  PHYS 2113         2  ELECTROMAGNETISM       3.0  1130-1220   M W F  0109 NICHOLSON                        DOWLING J
 10    60  PHYS 2113         3  ELECTROMAGNETISM       3.0   130-0220   M W F  0109 NICHOLSON                        PULLIN J
 50    20  PHYS 2113         4  ELECTROMAGNETISM       3.0   330-0420   M W F  0109 NICHOLSON                        ABDELWAHAB M
 12    58  PHYS 2113         5  ELECTROMAGNETISM       3.0   900-1020    T TH  0109 NICHOLSON                        RUPNIK D
(F)    71  PHYS 2113         6  ELECTROMAGNETISM       3.0  1030-1150    T TH  0109 NICHOLSON                        ABDELWAHAB M
 32    38  PHYS 2113         7  ELECTROMAGNETISM       3.0  1200-0120    T TH  0109 NICHOLSON                        RUPNIK D
  4    30  PHYS 2203         1  INTRO MODERN PHYSICS   3.0   930-1020   M W F  0118 NICHOLSON                        GAARDE M
(F)    12  PHYS 2207 LAB     1  MODERN PHYSICS LAB     1.0   130-0420   M      0007 NICHOLSON                        RUPNIK D
  1    11  PHYS 2207 LAB     2  MODERN PHYSICS LAB     1.0   130-0420     W    0007 NICHOLSON                        RUPNIK D
(F)    25  PHYS 2231         3  ELEC & MAGNETISM       3.0   830-0920   M W F  0118 NICHOLSON                        MATTHEWS J
  3    22  PHYS 2411         1  COMPUTATIONAL SCI I    3.0  1130-1220   M   F  0118 NICHOLSON                        LAUNEY K
                     LAB                                    1130-0120     W    0365 NICHOLSON                        LAUNEY K
 15    20  PHYS 2995 SEM     3  UNDERGRAD SEMINAR      1.0   600-0650N  M                           PERMIS OF INST   CHERRY M
