(F)     1  HNRS 4000 RES    43  THESIS                 3.0  TBA                                                      SAUNDERS R
(F)     1  HNRS 4000 RES    44  THESIS                 3.0  TBA                                                      DOOLEY K
(F)     1  HNRS 4000 RES    45  THESIS                 3.0  TBA                                                      CLARE J
(F)     1  HNRS 4000 RES    46  THESIS                 3.0  TBA                                                      RAY L
(F)     1  HNRS 4000 RES    47  THESIS                 3.0  TBA                                                      DASBACH O
(F)     1  HNRS 4000 RES    48  THESIS                 3.0  TBA                                                      BECK M
(F)     1  HNRS 4000 RES    49  THESIS                 3.0  TBA                                                      MACIAK P
(F)     1  HNRS 4000 RES    50  THESIS                 3.0  TBA                                                      WHEELER J
(F)     1  HNRS 4000 RES    51  THESIS                 3.0  TBA                                                      COHEN D
(F)     1  HNRS 4000 RES    52  THESIS                 3.0  TBA                                                      ROCHA O
(F)     1  HNRS 4000 RES    53  THESIS                 3.0  TBA                                                      SABLIOV C
(F)     1  HNRS 4000 RES    54  THESIS                 3.0  TBA                                                      CALDERON P
(F)     1  HNRS 4000 RES    55  THESIS                 3.0  TBA                                                      MOORE-COPPLE
(F)     1  HNRS 4000 RES    56  THESIS                 3.0  TBA                                                      BURNS A
(F)     1  HNRS 4000 RES    57  THESIS                 3.0  TBA                                                      BATZER M
(F)     1  HNRS 4000 RES    58  THESIS                 3.0  TBA                                                      MELVIN A
(F)     1  HNRS 4000 RES    59  THESIS                 3.0  TBA                                                      NICKERSON K
(F)     1  HNRS 4000 RES    60  THESIS                 3.0  TBA                                                      VAN GEMMERT A
